title,company,details,location
"Fullstack Engineer, Frontend focused",Agile Six Applications,"100% Remote Work,Full-Time,Employee,$129,233 Annually","Remote, US National"
UX Design Specialist,SAP Concur,"Hybrid Remote Work,Part-Time,Employee,74,600 - 156,800 CAD Annually","Hybrid Remote in Waterloo, ON, Canada"
,,,
Senior UX-UI Designer,SkyCell AG,"Hybrid Remote Work,Full-Time,Employee","Hybrid Remote in Utrecht, UT, Netherlands"
Full Stack Engineer,Valsoft Corporation,"100% Remote Work,Full-Time,Employee","Remote in CA, Canada"
Senior Frontend Engineer,SkyCell AG,"100% Remote Work,Full-Time,Employee","Remote in United Kingdom, Portugal, Poland"
Product Designer,Domyn,"Hybrid Remote Work,Full-Time,Employee,30,000 - 40,000 EUR Annually","Hybrid Remote in Milan, LO, Italy"
Full Stack Engineer,Valsoft Corporation,"100% Remote Work,Full-Time,Employee","Remote in CA, Canada"
Software Engineer,Sigma Defense Systems,"Hybrid Remote Work,Full-Time,Employee,$72,000 - $75,000 Annually","Hybrid Remote in San Diego, CA"
"Senior Software Engineer, Frontend - Core Web Platform",,"Hybrid Remote Work,Full-Time,Employee,$128,500 - $207,000 Annually","Hybrid Remote in New York, NY"
"Software Engineer, Frontend",,"Hybrid Remote Work,Full-Time,Employee,$110,500 - $178,250 Annually","Hybrid Remote in New York City, NY"
,,,
Digital Strategist,,"100% Remote Work,Full-Time,Employee,$60,086 - $67,000 Annually","Remote in Washington, DC"
Senior Frontend Engineer - iGaming,,"Hybrid Remote Work,Full-Time,Employee,$140,000 - $185,000 Annually","Hybrid Remote in Jersey City, NJ, Las Vegas, NV"
Experience Design Rotational Program,,"Hybrid Remote Work,Full-Time,Employee,$71,400 - $84,000 Annually","Hybrid Remote in Minneapolis, MN"
Software Engineer - Web App Integrations,,"100% Remote Work,Full-Time,Employee",Remote in Canada or US National
Advisor Technology Engineer - Advisor Website Services,,"Hybrid Remote Work,Full-Time,Employee,$54,000 - $73,000 Annually","Hybrid Remote in Des Moines, IA"
Software Engineer - Web App Integrations,,"100% Remote Work,Full-Time,Employee","Remote, US National"
Senior Software Engineer - Frontend Focused (Viator),,"100% Remote Work,Full-Time,Employee","Remote in Oxford, United Kingdom, London, United Kingdom"
Portugal Senior Software Engineer - Frontend Focused (Viator),,"100% Remote Work,Full-Time,Employee","Remote in Lisbon, 11, Portugal"
Web Experience Director,Visier,"100% Remote Work,Full-Time,Employee,$155,000 - $195,000 Annually",Remote in Canada
Senior Website Performance Manager,,"100% Remote Work,Full-Time,Employee,$140,000 - $155,000 Annually","Remote, US National"
,,,
